Date,r
2012/6/19,-0.002847044
2012/6/20,-0.013873316
2012/6/21,0.007639517
2012/6/22,-0.019655886
2012/6/25,0.002205111
2012/6/26,0.004308597
2012/6/27,-0.009531801
2012/6/28,0.0259327
2012/6/29,0.014483611
2012/7/2,0.011561191
2012/7/3,0.017414781
2012/7/5,-0.006678645
2012/7/6,0.013133839
2012/7/9,-0.009295535
2012/7/10,-0.006234352
2012/7/11,-0.009191226
2012/7/12,0.010084198
2012/7/13,0.003201699
2012/7/16,4.94559E-05
2012/7/17,-0.001121062
2012/7/18,0.013207067
2012/7/19,-0.016445194
2012/7/20,-0.000778122
2012/7/23,-0.004830814
2012/7/24,-0.044144008
2012/7/25,-0.000156528
2012/7/26,0.017723949
2012/7/27,0.016726558
2012/7/30,0.026092225
2012/7/31,-0.006488382
2012/8/1,0.0016137
2012/8/2,0.01293045
2012/8/3,0.011064121
2012/8/6,-0.002637783
2012/8/7,-0.001692543
2012/8/8,0.001402539
2012/8/9,0.001561463
2012/8/10,0.013262177
2012/8/13,0.002678897
2012/8/14,-0.001362342
2012/8/15,0.008696656
2012/8/16,0.018327417
2012/8/17,0.025952168
2012/8/20,-0.013760379
2012/8/21,0.019337473
2012/8/22,-0.009372908
2012/8/23,0.000889935
2012/8/24,0.018612914
2012/8/27,-0.0013033
2012/8/28,-0.001972899
2012/8/29,-0.01435714
2012/8/30,0.002061591
2012/8/31,0.014520326
2012/9/4,-0.007047237
2012/9/5,0.008971414
2012/9/6,0.006147302
2012/9/7,-0.026356896
2012/9/10,-0.003249393
2012/9/11,0.013830753
2012/9/12,0.019501412
2012/9/13,0.012079392
2012/9/14,0.012221071
2012/9/17,0.003039134
2012/9/18,0.000270705
2012/9/19,-0.004854436
2012/9/20,0.001987438
2012/9/21,-0.013373074
2012/9/24,-0.025288427
2012/9/25,-0.012489644
2012/9/26,0.023974346
2012/9/27,-0.021092085
2012/9/28,-0.01162483
2012/10/1,0.002907533
2012/10/2,0.015216801
2012/10/3,-0.006949384
2012/10/4,-0.021541048
2012/10/5,-0.022344355
2012/10/8,-0.003642013
2012/10/9,0.007926342
2012/10/10,-0.020189696
2012/10/11,0.002560051
2012/10/12,0.007987572
2012/10/15,0.023402228
2012/10/16,-0.008003708
2012/10/17,-0.018743943
2012/10/18,-0.036704879
2012/10/19,0.038899617
2012/10/22,-0.033144265
2012/10/23,0.005641394
2012/10/24,-0.011888879
2012/10/25,-0.00913037
2012/10/26,-0.014475075
2012/10/31,0.002047201
2012/11/1,-0.033650711
2012/11/2,0.013466491
2012/11/5,-0.003032234
2012/11/6,-0.043570852
2012/11/7,-0.03696523
2012/11/8,0.017164718
2012/11/9,-0.007762268
2012/11/12,0.000128946
2012/11/13,-0.011150535
2012/11/14,-0.021196148
2012/11/15,0.003911605
2012/11/16,0.069626862
2012/11/19,-0.008556525
2012/11/20,0.00140752
2012/11/21,0.017296485
2012/11/23,0.031061243
2012/11/26,-0.008089955
2012/11/27,-0.003151429
2012/11/28,0.010952903
2012/11/29,-0.006946824
2012/11/30,0.001553556
2012/12/3,-0.017796725
2012/12/4,-0.066521305
2012/12/5,0.015561644
2012/12/6,-0.025897164
2012/12/7,-0.006452978
2012/12/10,0.021602564
2012/12/11,-0.00442438
2012/12/12,-0.017423641
2012/12/13,-0.038293093
2012/12/14,0.017577393
2012/12/17,0.02863237
2012/12/18,-0.014318246
2012/12/19,-0.008740104
2012/12/20,-0.004610678
2012/12/21,0.001616054
2012/12/24,-0.013879813
2012/12/26,0.004007585
2012/12/27,-0.010676965
2012/12/28,0.043356531
2012/12/31,0.031190055
2013/1/2,-0.012702548
2013/1/3,-0.028249953
2013/1/4,-0.005899707
2013/1/7,0.002687677
2013/1/8,-0.015752217
2013/1/9,0.012319929
2013/1/10,-0.006150571
2013/1/11,-0.036303634
2013/1/14,-0.032057978
2013/1/15,0.040670454
2013/1/16,-0.006760751
2013/1/17,-0.005345615
2013/1/18,0.009494774
2013/1/22,0.018139841
2013/1/23,-0.131884564
2013/1/24,-0.023856195
2013/1/25,0.022367762
2013/1/28,0.018588762
2013/1/29,-0.003147165
2013/1/30,-0.002937559
2013/1/31,-0.004113937
2013/2/1,-0.025226214
2013/2/4,0.034486193
2013/2/5,-0.001070816
2013/2/6,0.023489291
2013/2/7,0.014334452
2013/2/8,0.010367462
2013/2/11,-0.025385612
2013/2/12,-0.001903944
2013/2/13,-0.000899683
2013/2/14,-0.013876681
2013/2/15,-0.000369601
2013/2/19,-0.024515925
2013/2/20,-0.006235293
2013/2/21,0.010592502
2013/2/22,-0.017927737
2013/2/25,0.01383786
2013/2/26,-0.009848556
2013/2/27,-0.007156011
2013/2/28,-0.025073849
2013/3/1,-0.024503892
2013/3/4,0.026059083
2013/3/5,-0.012791939
2013/3/6,0.011492213
2013/3/7,0.002644074
2013/3/8,0.014144842
2013/3/11,-0.021794708
2013/3/12,-0.000186736
2013/3/13,0.009641754
2013/3/14,0.025476149
2013/3/15,0.026820126
2013/3/18,-0.002702639
2013/3/19,-0.005316853
2013/3/20,0.001436748
2013/3/21,0.020074198
2013/3/22,0.003608912
2013/3/25,-0.005277294
2013/3/26,-0.019842564
2013/3/27,-0.021057139
2013/3/28,-0.031554911
2013/4/1,0.002049639
2013/4/2,0.005105695
2013/4/3,-0.009933664
2013/4/4,-0.010623858
2013/4/5,0.007087302
2013/4/8,0.001804991
2013/4/9,0.02019378
2013/4/10,-0.00312634
2013/4/11,-0.010484648
2013/4/12,-0.02342247
2013/4/15,0.015105044
2013/4/16,-0.056562418
2013/4/17,-0.027050738
2013/4/18,-0.003884612
2013/4/19,0.020629196
2013/4/22,0.018539328
2013/4/23,-0.00165111
2013/4/24,0.007175908
2013/4/25,0.02136761
2013/4/26,0.030498544
2013/4/29,0.029008738
2013/4/30,-0.007913191
2013/5/1,0.014082352
2013/5/2,0.009961016
2013/5/3,0.023565683
2013/5/6,-0.004459687
2013/5/7,0.011230471
2013/5/8,-0.015359745
2013/5/9,-0.008354005
2013/5/10,0.00389985
2013/5/13,-0.024216541
2013/5/14,-0.034402027
2013/5/15,0.01327285
2013/5/16,-0.003042047
2013/5/17,0.022073789
2013/5/20,-0.007410061
2013/5/21,0.003836501
2013/5/22,0.001788344
2013/5/23,0.00678473
2013/5/24,-0.008369194
2013/5/28,0.007919797
2013/5/29,0.014790646
2013/5/30,-0.004105053
2013/5/31,0.00219883
2013/6/3,-0.003133285
2013/6/4,-0.009391568
2013/6/5,-0.015052855
2013/6/6,0.007611347
2013/6/7,-0.006631131
2013/6/10,-0.002943598
2013/6/11,-0.012439927
2013/6/12,0.008685199
2013/6/13,-0.013648987
2013/6/14,0.004524052
2013/6/17,-0.000532531
2013/6/18,-0.020520841
2013/6/19,-0.014669724
2013/6/20,-0.00804496
2013/6/21,-0.026863004
2013/6/24,0.000223535
2013/6/25,-0.011390147
2013/6/26,-0.010835542
2013/6/27,0.006959373
2013/6/28,0.031501188
2013/7/1,0.022400057
2013/7/2,0.005504667
2013/7/3,-0.008064733
2013/7/5,-0.005693924
2013/7/8,0.017435407
2013/7/9,-0.003843113
2013/7/10,0.015471661
2013/7/11,-0.001827117
2013/7/12,0.002178096
2013/7/15,0.006436326
2013/7/16,0.000255625
2013/7/17,0.003364018
2013/7/18,-0.015898345
2013/7/19,0.003195238
2013/7/22,-0.01731969
2013/7/23,0.050086065
2013/7/24,-0.004573353
2013/7/25,0.005662415
2013/7/26,0.015302164
2013/7/29,0.012273967
2013/7/30,-0.001744325
2013/7/31,0.00912885
2013/8/1,0.012750131
2013/8/2,0.014828775
2013/8/5,-0.008986841
2013/8/6,-0.00058057
2013/8/7,-0.008574616
2013/8/8,-0.014331917
2013/8/9,0.028012038
2013/8/12,0.046427656
2013/8/13,0.018076101
2013/8/14,-0.00118434
2013/8/15,0.008837985
2013/8/16,0.010712271
2013/8/19,-0.013223733
2013/8/20,0.002571214
2013/8/21,0.001193562
2013/8/22,-0.003864528
2013/8/23,0.003884514
2013/8/26,-0.029006923
2013/8/27,0.004716806
2013/8/28,0.001628366
2013/8/29,-0.009153008
2013/8/30,0.002787434
2013/9/3,0.020481355
2013/9/4,-0.0068816
2013/9/5,0.005938727
2013/9/6,0.015830803
2013/9/9,-0.023042317
2013/9/10,-0.055981678
2013/9/11,0.010591268
2013/9/12,-0.016617497
2013/9/13,-0.032308107
2013/9/16,0.011486299
2013/9/17,0.020348545
2013/9/18,0.016265329
2013/9/19,-0.010407569
2013/9/20,0.048503911
2013/9/23,-0.003143751
2013/9/24,-0.015598425
2013/9/25,0.009692662
2013/9/26,-0.007162242
2013/9/27,-0.012506634
2013/9/30,0.023241123
2013/10/1,0.003273544
2013/10/2,-0.012641825
2013/10/3,-0.000786366
2013/10/4,0.009724191
2013/10/7,-0.014060382
2013/10/8,0.011679258
2013/10/9,0.006248572
2013/10/10,0.006453261
2013/10/11,0.006532856
2013/10/14,0.005307999
2013/10/15,0.004861102
2013/10/16,0.006742178
2013/10/17,0.008664059
2013/10/18,0.024208945
2013/10/21,-0.00286204
2013/10/22,0.009743251
2013/10/23,0.013152271
2013/10/24,-0.011249138
2013/10/25,0.007425401
2013/10/28,-0.025226915
2013/10/29,0.015784126
2013/10/30,-0.004200167
2013/10/31,-0.005121122
2013/11/1,0.01283955
2013/11/4,-0.002471037
2013/11/5,-0.008658521
2013/11/6,-0.016315366
2013/11/7,0.01562405
2013/11/8,-0.002904961
2013/11/11,0.001847894
2013/11/12,0.001191528
2013/11/13,0.014359674
2013/11/14,-0.006020091
2013/11/15,-0.012188557
2013/11/18,0.001772379
2013/11/19,-0.008796152
2013/11/20,0.011851834
2013/11/21,-0.002574644
2013/11/22,0.007551294
2013/11/25,0.018276181
2013/11/26,0.023274132
2013/11/27,0.018348552
2013/11/29,-0.008742033
2013/12/2,0.027007065
2013/12/3,-0.002333516
2013/12/4,0.005119594
2013/12/5,-0.013972921
2013/12/6,0.011381081
2013/12/9,-0.001554819
2013/12/10,-0.007436305
2013/12/11,-0.00146182
2013/12/12,-0.010960032
2013/12/13,0.005521901
2013/12/16,-0.004512314
2013/12/17,-0.007632833
2013/12/18,-0.011522814
2013/12/19,0.008340386
2013/12/20,0.037659373
2013/12/23,-0.004253902
2013/12/24,-0.006663389
2013/12/26,-0.006779474
2013/12/27,-0.009994632
2013/12/30,0.011653688
2013/12/31,-0.014163515
2014/1/2,-0.022210665
2014/1/3,0.005438193
2014/1/6,-0.00717727
2014/1/7,0.006312851
2014/1/8,-0.012852311
2014/1/9,-0.006694985
2014/1/10,0.005221515
2014/1/13,0.019702688
2014/1/14,0.019878308
2014/1/15,-0.005595481
2014/1/16,-0.024806737
2014/1/17,0.015416878
2014/1/21,0.00443404
2014/1/22,0.008431925
2014/1/23,-0.018344737
2014/1/24,0.008079667
2014/1/27,-0.083302496
2014/1/28,-0.011417452
2014/1/29,-0.001938981
2014/1/30,0.001639393
2014/1/31,0.001856031
2014/2/3,0.014371893
2014/2/4,0.007441042
2014/2/5,-0.000156129
2014/2/6,0.013892992
2014/2/7,0.017756344
2014/2/10,0.013090078
2014/2/11,-7.47621E-05
2014/2/12,0.015754605
2014/2/13,-0.000808651
2014/2/14,0.00366987
2014/2/18,-0.015913783
2014/2/19,-0.01164241
2014/2/20,-0.011170165
2014/2/21,0.004369263
2014/2/24,-0.010461048
2014/2/25,-0.00906288
2014/2/26,0.01975149
2014/2/27,-0.002713683
2014/2/28,0.002884214
2014/3/3,0.006572224
2014/3/4,0.002106056
2014/3/5,-0.003028852
2014/3/6,-0.000584227
2014/3/7,0.00090456
2014/3/10,0.009690557
2014/3/11,0.000969546
2014/3/12,-0.011168844
2014/3/13,-0.011294997
2014/3/14,0.003899388
2014/3/17,0.008807935
2014/3/18,-0.000263437
2014/3/19,-0.004830403
2014/3/20,0.007856299
2014/3/21,0.011790559
2014/3/24,0.010699388
2014/3/25,-0.009605775
2014/3/26,-0.004307303
2014/3/27,-0.001117008
2014/3/28,-0.000223458
2014/3/31,0.009106171
2014/4/1,0.001660166
2014/4/2,-0.006954326
2014/4/3,-0.013020874
2014/4/4,-0.01582535
2014/4/7,-5.72351E-05
2014/4/8,0.013058225
2014/4/9,-0.012981787
2014/4/10,-0.007420279
2014/4/11,0.003975866
2014/4/14,-0.007156454
2014/4/15,0.002025186
2014/4/16,0.011360728
2014/4/17,0.011798256
2014/4/21,0.00099727
2014/4/22,-0.013157446
2014/4/23,0.078794418
2014/4/24,0.007317754
2014/4/25,0.037996709
2014/4/28,-0.002966999
2014/4/29,-0.003788845
