dist,bones,hr_wage,hr_sleep,salary,bpm,travel,class,car,coffee,academ_level,academ_year,residence,grad_plans,musician
140,0,10,8,76000,59,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,Graduate School,J.S. Bach
6690,0,10,6,300000,98,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,Graduate School,Green day
10000,0,10,8,200000,56,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,A Job,kep1er.
14000,0,10,5,10000,98,Yes,STAT 200 Online,No,Yes,Freshman,1,Dorm Room,Graduate School,aespa
0,0,12,6,100000,79,Yes,STAT 200 Online,No,No,Freshman,1,Some other residence,A Job,Elko
0,0,12,7.5,200000,72,Yes,STAT 200 Online,Yes,No,Freshman,1,Dorm Room,Graduate School,Taylor Swift
6835.0831,3,12,8,250000,81,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,Graduate School,Imagine Dragons
7162,0,12,9,43811,82,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,Graduate School,The Chainsmokers
11000,3,12,7.6,200000,89,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,Graduate School,Avicii
7720,0,12.5,4.2,10000000,51,Yes,STAT 200 Online,No,Yes,Freshman,1,Dorm Room,Graduate School,Chopin
4.3,2,13,6.5,120000,66,Yes,STAT 200 Online,No,No,Freshman,1,Some other residence,Graduate School,BLACKPINK
158.7,1,13,8.5,"600,000",52,Yes,STAT 200 Online,No,Yes,Freshman,1,Dorm Room,Graduate School,Nirvana
160,0,13,8,170000,83,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,A Job,Kanye West
200,0,13,7.5,100000,82,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,Graduate School,Eason Chan
332,0,13,8.3,100000,83,Yes,STAT 200 Online,No,Yes,Freshman,1,Dorm Room,Graduate School,Eason Chan
139,0,13.67,8.5,100000,77,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,Graduate School,Supertramp
110,1,14,7,100000,75,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,A Job,Reesh
120,0,14,5,"175,000",70,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,Graduate School,Drake
120,0,14,8,500000,59,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,Graduate School,Joji
159,0,14,6.5,80000,61,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,A Job,Chase Atlantic
163,0,14,5.5,200000,68,Yes,STAT 200 Online,No,No,Freshman,1,Some other residence,A Job,Denzel Curry
183,0,14,6.5,200000,82,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,A Job,Baby Keem
800,2,14,8.5,"400,000",65,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,Graduate School,Coldplay
2000,0,14,6.5,100000,78,Yes,STAT 200 Online,No,Yes,Freshman,1,Dorm Room,Graduate School,Lana Del Rey
7075,0,14,7,"100,000",85,Yes,STAT 200 Online,No,Yes,Freshman,1,Dorm Room,Graduate School,Taylor
49,0,15,7,400000,92,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,A Job,Bruno Major
117,0,15,7.7,"5,000,000",69,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,A Job,KanYe West
121,1,15,6,"80,000",80,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,A Job,taylor swift
125,0,15,8,"200,000",52,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,Graduate School,ONE OK ROCK
136,0,15,7,200000,64,Yes,STAT 200 Online,Yes,No,Freshman,1,Dorm Room,A Job,DEAN
140,2,15,8.5,250000,72,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,A Job,Kanye West
150,0,15,9,200000,56,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,A Job,
150,1,15,7,200000,50,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,A Job,Outkast
800,0,15,7.5,300000,68,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,A Job,Coldplay
800,0,15,8,250000,61,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,A Job,Drake
811,0,15,6,400000,80,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,Graduate School,J. Cole
875,0,15,6.5,"90,000",66,Yes,STAT 200 Online,No,Yes,Freshman,1,Dorm Room,A Job,Taylor Swift
6900,0,15,7,500000,87,Yes,STAT 200 Online,No,Yes,Freshman,1,Dorm Room,Graduate School,Bai Li
7155,0,15,7,100000000,72,Yes,STAT 200 Online,Yes,Yes,Freshman,1,Dorm Room,A Job,ED Sheeran
7155.0893,0,15,7,,72,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,Something else,ED Sheeran
7200,0,15,7,1000000,86,Yes,STAT 200 Online,No,Yes,Freshman,1,Dorm Room,Graduate School,Taylor
7243,0,15,8.5,1000000,80,Yes,STAT 200 Online,No,Yes,Freshman,1,Dorm Room,Graduate School,Jay Zhou
126.1,0,16,7,350000,54,Yes,STAT 200 Online,No,Yes,Freshman,1,Dorm Room,Something else,Weston Estate
160,1,18,7,200000,60,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,Graduate School,Mozart
7861.4,1,20,7,"350,000",81,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,Graduate School,Buna Boy
7800,2,,9,250000,72,Yes,STAT 200 Online,No,No,Freshman,1,Dorm Room,A Job,"Xu, Song"
6691,0,3,8.5,130000,64,Yes,STAT 200 Online,No,No,Junior,3,Dorm Room,Graduate School,Enya Patricia Brennan
7849,0,4,7,40000,62,Yes,STAT 200 Online,No,No,Junior,3,Dorm Room,A Job,Coldplay
167,1,10,8,70000,58,Yes,STAT 200 Online,No,No,Junior,3,Some other residence,A Job,taylor swift
6680,0,10,7,55000,91,Yes,STAT 200 Online,No,Yes,Junior,3,Dorm Room,A Job,Paloalto
2,0,12,6,20000,63,No,STAT 200 Online,No,No,Junior,3,Dorm Room,A Job,Mozart
137,0,12,7,"5,000,000",63,Yes,STAT 200 Online,No,Yes,Junior,3,Some other residence,A Job,Drake
6000,0,12,6,120000,70,Yes,STAT 200 Online,Yes,No,Junior,3,Some other residence,Graduate School,Jay
"6,560",1,12,8,"50,000",75,Yes,STAT 200 Online,No,No,Junior,3,Some other residence,A Job,Ennio Morricone
6939,0,12,7,100000,70,Yes,STAT 200 Online,No,Yes,Junior,3,Dorm Room,A Job,BTS
0.6,0,13,8,"5,000,000",63,Yes,STAT 200 Online,No,Yes,Junior,3,Some other residence,A Job,Drake
8,1,14,5,20000000,70,Yes,STAT 200 Online,Yes,No,Junior,3,Dorm Room,A Job,Capper
123,1,14,7.6,"110,000",66,Yes,STAT 200 Online,No,No,Junior,3,Some other residence,Graduate School,Coldplay
