Date,Price
2012/1/1,2813.84 
2012/2/1,2966.89 
2012/3/1,3091.57 
2012/4/1,3046.36 
2012/5/1,2827.34 
2012/6/1,2935.05 
2012/7/1,2939.52 
2012/8/1,3066.96 
2012/9/1,3116.23 
2012/10/1,2977.23 
2012/11/1,3010.24 
2012/12/1,3019.51 
2013/1/1,3142.13 
2013/2/1,3160.19 
2013/3/1,3267.52 
2013/4/1,3328.79 
2013/5/1,3455.91 
2013/6/1,3403.25 
2013/7/1,3626.37 
2013/8/1,3589.87 
2013/9/1,3771.48 
2013/10/1,3919.71 
2013/11/1,4059.89 
2013/12/1,4176.59 
2014/1/1,4103.88 
2014/2/1,4308.12 
2014/3/1,4198.99 
2014/4/1,4114.56 
2014/5/1,4242.62 
2014/6/1,4408.18 
2014/7/1,4369.77 
2014/8/1,4580.27 
2014/9/1,4493.39 
2014/10/1,4630.74 
2014/11/1,4791.63 
2014/12/1,4736.05 
2015/1/1,4635.24 
2015/2/1,4963.53 
2015/3/1,4900.88 
2015/4/1,4941.42 
2015/5/1,5070.03 
2015/6/1,4986.87 
2015/7/1,5128.28 
2015/8/1,4776.51 
2015/9/1,4620.16 
2015/10/1,5053.75 
2015/11/1,5108.67 
2015/12/1,5007.41 
2016/1/1,4613.95 
2016/2/1,4557.95 
2016/3/1,4869.85 
2016/4/1,4775.36 
2016/5/1,4948.05 
2016/6/1,4842.67 
2016/7/1,5162.13 
2016/8/1,5213.22 
2016/9/1,5312.00 
2016/10/1,5189.14 
2016/11/1,5323.68 
2016/12/1,5383.12 
2017/1/1,5614.79 
2017/2/1,5825.44 
2017/3/1,5911.74 
2017/4/1,6047.61 
2017/5/1,6198.52 
2017/6/1,6140.42 
2017/7/1,6348.12 
2017/8/1,6428.66 
2017/9/1,6495.96 
2017/10/1,6727.67 
2017/11/1,6873.97 
2017/12/1,6903.39 
2018/1/1,7411.48 
2018/2/1,7273.01 
2018/3/1,7063.45 
2018/4/1,7066.27 
2018/5/1,7442.12 
2018/6/1,7510.30 
2018/7/1,7671.79 
2018/8/1,8109.54 
2018/9/1,8046.35 
2018/10/1,7305.90 
2018/11/1,7330.54 
2018/12/1,6635.28 
2019/1/1,7281.74 
2019/2/1,7532.53 
2019/3/1,7729.32 
2019/4/1,8095.39 
2019/5/1,7453.15 
2019/6/1,8006.24 
2019/7/1,8175.42 
2019/8/1,7962.88 
2019/9/1,7999.34 
2019/10/1,8292.36 
2019/11/1,8665.47 
2019/12/1,8972.60 
2020/1/1,9150.94 
2020/2/1,8567.37 
2020/3/1,7700.10 
2020/4/1,8889.55 
2020/5/1,9489.87 
2020/6/1,10058.77 
2020/7/1,10745.27 
2020/8/1,11775.46 
2020/9/1,11167.51 
2020/10/1,10911.59 
2020/11/1,12198.74 
2020/12/1,12888.28 
2021/1/1,13070.69 
2021/2/1,13192.35 
2021/3/1,13246.87 
2021/4/1,13962.68 
2021/5/1,13748.74 
2021/6/1,14503.95 
2021/7/1,14672.68 
2021/8/1,15259.24 
2021/9/1,14448.58 
2021/10/1,15498.39 
2021/11/1,15537.69 
2021/12/1,15644.97 
2022/1/1,14239.88 
2022/2/1,13751.40 
2022/3/1,14220.52 
2022/4/1,12334.64 
2022/5/1,12081.39 
2022/6/1,12175.23 
